Manager ID,Manager Name
306,Eureka Portfolio Management Services Pvt. Ltd.
307,Exclusive Securities Limited
308,FAIRWEALTH SECURITIES (P) LTD.
309,FALCON BROKERAGE PRIVATE LTD
310,FCH Centrum Wealth Managers Limited
311,FE SECURITIES PVT. LTD.
312,Ficus Mercantile Limited
313,FINQUEST SECURITIES P LTD
314,First Global Finance Pvt Ltd
315,FIRST GLOBAL STOCKBROKING (P) LTD.
316,FIRST GLOBAL STOCKBROKING PVT LTD
317,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED
318,Five Rivers Portfolio Managers Private Limited
319,FLORINTREE ADVISORS PRIVATE LIMITED
320,Focus Shares & Securities Pvt. Ltd.
321,Forefront Capital Management Private Limited
322,Fort Capital Investment Advisory Private Limited
323,FORTIS INVESTMENT MANAGEMENT (INDIA) PRIVATE LIMITED
324,FORTUNE FINANCIAL SERVICES (INDIA) LIMITED
325,Fortune Wealth Management Co (I) Pvt Ltd
326,Fractal Capital Investments LLP
327,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED
328,Franklin Templeton Asset Management (India) Private Limited
329,FRONTLINE CAPITAL SERVICES LIMITED
330,FRR Shares And Securities Ltd.
331,FUTURE CAPITAL HOLDINGS LIMITED
332,G.M.MERCHANT BANKING AND FINANCIAL SERVI
333,Geojit BNP Paribas Financial Services Limited
334,GEOJIT FINANCIAL SERVICES LIMITED
335,GEOJIT FINANCIAL SERVICES LIMITED
336,GEOJIT FINANCIAL SERVICES LTD
337,GEPL CAPITAL PRIVATE LIMITED
338,GHALLA BHANSALI STOCK BROKERS PRIVATE LIMITED
339,Ghalla Bhansali Stock Brokers Private Limited
340,GILTEDGE PORTFOLIO MANAGEMENT SERVICES L
341,GIRIK WEALTH ADVISORS PRIVATE LIMITED
342,GIRIK WEALTH ADVISORS PRIVATE LIMITED
343,GLOBALWORTH SECURITIES LIMITED
344,GLOBE CAPITAL MARKET LTD.
345,GLOBE CAPITAL MARKET LTD.
346,GLOVISTA ENTERPRISE PVT. LTD.
347,GOCAPITAL FINANCE LIMITED
348,GOGIA INTERNATIONAL SECURITIES LTD.
349,Goldcrest Finance (India) Ltd
350,Goldman Sachs Asset Management (India) Private Ltd
351,GOLDMINE STOCKS PVT. LTD.
352,Good Fortune Capitals Private Limited
353,Green Lantern Capital LLP
354,GREEN PORTFOLIO PRIVATE LIMITED
355,GROVALUE FINANCIAL SERVICES PRIVATE LIMITED
356,Gryffon Investment Advisors Pvt. Ltd.
357,GUARDIAN ADVISORS PVT LTD
358,GUARDIAN ADVISORS PVT LTD
359,GUARDIAN ADVISORS PVT LTD
360,Guardian Asset Management Private Limited
361,GUINESS PORTFOLIO MANAGEMENT SERVICES PRIVATE LIMITED
362,GUINESS PORTFOLIO MANAGEMENT SERVICES PVT. LTD.
363,Hanut Alternate Investments LLP
364,HARITA INVTS PVT.LTD
365,HARMONEY WEALTH ADVISORY SERVICES INDIA PVT LTD
366,HARMONEY WEALTH ADVISORY SERVICES INDIA PVT LTD
367,Harvest Financials Limited
368,HB Portfolio Limited
369,HDFC ASSET MANAGEMENT COMPANY LTD
370,HDFC ASSET MANAGEMENT COMPANY LTD
371,HDFC BANK LTD
372,HDFC BANK LTD.
373,HDFC SECURITIES LIMITED
374,HEDGE EQUITIES LTD
375,HEDGE EQUITIES LTD
376,Helios Capital Management India LLP
377,Hem Securities Limited
